community_id,community_size,member
0,1269,"Nhà trường thông báo thời hạn và hình thức nộp học phí cho sinh viên, học viên cao học và nghiên cứu sinh chưa nộp trong học kì I năm học 2018-2019."
0,1269,"Nhà trường đề nghị toàn thể sinh viên, học viên và nghiên cứu sinh sử dụng ứng dụng UET Student Notification để tiếp nhận thông báo."
0,1269,Trường duy trì lượng đầu vào tốt.
0,1269,thành tích học tập và rèn luyện
0,1269,Bà Vũ Thị Chiên xúc động trước hành động của Nhà trường và các cháu sinh viên.
0,1269,đơn vị quản lý nhà nước về thông tin
0,1269,"Vào lúc 09h ngày 26/4/2021, Nhà trường đưa ra thông báo về thời hạn tiếp nhận các hợp gửi."
0,1269,khóa học năm 2019 chương trình C của UMAP
0,1269,Nhà trường cho phép sinh viên chuyển khoản trực tiếp vào tài khoản thu học phí của Nhà trường theo thông tin đã nêu.
0,1269,quản trị chất lượng
0,1269,Nhà trường hỗ trợ quà Tết cho sinh viên để Văn Đạt có cơ hội khoe những món quà.
0,1269,tháng 05/2021
0,1269,học phí học kỳ I năm học 2020-2021
0,1269,Nhà trường gặp khó khăn về cơ sở vật chất trong giai đoạn đầu.
0,1269,Quyết định số 757/QĐ-CTSV
0,1269,một lần cho cả học kỳ
0,1269,"Nhà trường yêu cầu nội dung bắt buộc khi chuyển khoản gồm Mã Sinh viên, Họ tên và HP GDQP 2020."
0,1269,"Trường ĐH Công nghệ bắt đầu với 17 cán bộ, viên chức."
0,1269,Website Nhà trường
0,1269,Nhà trường hỗ trợ địa điểm tổ chức lễ trao học bổng cho sinh viên nếu cần.
0,1269,TS. Nguyễn Thu Hương trao quà tết cho sinh viên tại buổi lễ.
0,1269,Nhà trường nhận được thông báo của Đại học Quốc gia Singapore (NUS) về chương trình trao đổi sinh viên và học bổng thạc sĩ từ năm 2024.
0,1269,danh sách sinh viên dự hội nghị cấp trường
0,1269,Quy mô tuyển sinh năm 2017 tiếp tục tăng và Nhà trường đang tuyển sinh với 1120 chỉ tiêu.
0,1269,chiến lược phát triển
0,1269,định mức và cách thức
0,1269,Thông tin chuyển khoản
0,1269,sinh viên ĐHCQ hệ chuẩn
0,1269,Đại học Chiba (Nhật Bản)
0,1269,khởi động dự án nghiên cứu
0,1269,"Ngày 03/4/2018, Nhà trường ban hành các quyết định về việc thu học phí học lại của sinh viên đại học hệ chính quy."
0,1269,danh sách người học đã nộp và chưa nộp
0,1269,thông báo Danh sách các sinh viên dự kiến đạt học bổng KKHT
0,1269,công văn số 462/PCTT-KHCN
0,1269,"Sau thời hạn thu học phí, nhà trường sẽ cấm thi hết môn học kỳ hè đối với sinh viên không nộp học phí đúng quy định."
0,1269,Trường Đại học Công nghệ khẳng định vị thế uy tín và phát triển qua 15 năm thành lập và 20 năm truyền thống.
0,1269,ngành/chuyên ngành đào tạo
0,1269,Nhà trường công nhận tốt nghiệp và cấp văn bằng cử nhân hoặc kỹ sư đợt tháng 6 năm 2024.
0,1269,5.780 sinh viên
0,1269,Các khu vực công cộng khác
0,1269,Quyết định công nhận và khen thưởng
0,1269,Anh Nguyễn Khoa Bảo chia sẻ rằng công ty khi mới thành lập chưa có tầm nhìn và định hướng rõ ràng.
0,1269,sự hỗ trợ
0,1269,bảng điểm có xác nhận
0,1269,thời gian thích nghi được rút ngắn
0,1269,"Năm 2024, Nhà trường triển khai thông tin tuyển sinh đi học tại nước Cộng hòa dân chủ nhân dân Lào."
0,1269,Nhà trường đã trao bằng tốt nghiệp cho các tân thạc sĩ trong chương trình buổi lễ.
0,1269,"Nhà trường quy định ngân hàng nhận chuyển khoản học phí giáo dục quốc phòng là Ngân hàng BIDV Cầu Giấy, Hà Nội."
0,1269,Viện Khoa học & Công nghệ Việt Nam
0,1269,"Trước cơ hội tuyển dụng sắp tới tại Toshiba, Nhà trường hy vọng sinh viên được làm việc trong môi trường chuyên nghiệp."
0,1269,Sinh viên nộp Giấy báo thí sinh trúng tuyển nhập học bản chính cho Nhà trường trong buổi nhập học.
0,1269,Nhà trường thông báo Trân trọng thông báo về việc khen thưởng và nhận giấy tờ theo các quy định nêu trong văn bản.
0,1269,nụ cười tươi tắn
0,1269,PGS.TS. Nguyễn Hiệu chúc mừng kết quả Nhà trường đạt được trong năm học 2021-2022 tại Hội nghị.
0,1269,Nhà trường được bảng xếp hạng đại học hàng đầu QS Rankings đánh giá top 501-520 cho QS WUR by subject 2023.
0,1269,"Hiệu trưởng Nguyễn Việt Hà nhấn mạnh năm học 2022-2023, Nhà trường sẽ làm tốt hơn cơ chế tạo động lực để nhóm nghiên cứu phát triển bền vững và gắn với đào tạo sau đại học."
0,1269,các CTĐT mới
0,1269,kế hoạch thu học phí
0,1269,Sinh viên có tên trong thông báo
0,1269,môi trường nghiên cứu năng động
0,1269,an ninh trật tự (ANTT)
0,1269,đào tạo ngắn hạn cấp chứng chỉ
0,1269,BHTT
0,1269,Nội dung bắt buộc chuyển khoản
0,1269,CTĐT kỹ sư Công nghệ nông nghiệp
0,1269,Khoa liên ngành
0,1269,lòng biết ơn
0,1269,Nhà trường đã vận hành khu giảng đường 3 với diện tích 1.300 m2 và quy mô 15 phòng học.
0,1269,Giải thưởng Vừ A Dính năm 2020 xác định đối tượng xét tặng là sinh viên đang trong thời hạn đào tạo chuẩn.
0,1269,tuyển sinh và đào tạo
0,1269,Nhà trường triển khai hoạt động giảng dạy và học tập theo Công văn số 1207/ĐHQGHN-VP của Đại học Quốc gia Hà Nội.
0,1269,Nhà trường tuyển dụng 01 cán bộ kỹ thuật.
0,1269,Ngành mới mở rộng quan hệ hợp tác và gắn kết nhà trường với các doanh nghiệp và các tập đoàn công nghiệp.
0,1269,Sinh viên chuyển khoản trực tiếp vào tài khoản thu học phí của Nhà trường theo thông tin tài khoản được cung cấp.
0,1269,Nhà trường đã thông báo về hình thức và thời hạn nộp học phí cho người học.
0,1269,Sinh viên đại học hệ chính quy
0,1269,Nhà trường yêu cầu sinh viên nghiêm túc học tập theo kế hoạch của Nhà trường.
0,1269,"giới thiệu nhân, tập thể"
0,1269,giảng viên chính
0,1269,Quỹ Nafosted
0,1269,27/4/2021
0,1269,Giáo dục quốc phòng
0,1269,tầng 4 nhà E5
0,1269,Nhà trường đề nghị sinh viên có tên trong danh sách đóng học phí qua Ngân hàng theo một trong hai cách.
0,1269,Các kiến thức mới từ khóa học được kỳ vọng giúp cán bộ tham mưu và thực hiện công việc tại cơ quan tốt hơn.
0,1269,Hoạt động Gặp mặt Tân sinh viên K65 cung cấp các chia sẻ về công tác định hướng chiến lược đào tạo và nghiên cứu khoa học.
0,1269,Trường học/bên thông báo đăng tải thông tin chương trình học bổng Anduin STEM 2018 dành cho sinh viên.
0,1269,thí điểm phương pháp dạy học mới
0,1269,Hội nghị đối thoại được tổ chức giữa lãnh đạo Nhà trường và đại biểu sinh viên trong Học kỳ II năm học 2018-2019.
0,1269,Các lớp Tiếng Hàn được dùng để tạo cơ hội theo học chương trình hợp tác giữa Nhà trường với tập đoàn Samsung.
0,1269,Sinh viên chưa thực hiện nghĩa vụ nộp học phí
0,1269,Nhà trường thông báo Quyết định số 882/QĐ-CTSV ngày 15 tháng 9 năm 2017 về việc cho phép sinh viên Tạ Văn Minh được tiếp tục học tập.
0,1269,"Năm học 2017-2018, Nhà trường thực hiện công tác tuyển sinh nhằm đảm bảo nguồn tuyển sinh chất lượng."
0,1269,Nhà trường thực hiện chỉ đạo của Ban giám hiệu về việc tổ chức Lễ bế giảng và trao bằng tốt nghiệp đợt từ tháng 9 đến tháng 12/2020.
0,1269,Nhà trường đăng Thông báo làm bản tường trình lên Website và gửi email cho sinh viên.
0,1269,Nhà trường thông báo nhiều sinh viên chưa thực hiện nghĩa vụ nộp học phí của mình cho đến thời điểm hiện tại.
0,1269,"các hoạt động phòng, chống dịch"
0,1269,Năm học 2016-2017
