node,hub_score,authority_score
Trường Đại học Công nghệ,0.07384559,0.00412986
Trường ĐH Công nghệ,0.0132732,0.00020744
Trường ĐHCN,0.00330891,0.00024502
Đại học Công nghệ,0.00284692,2.906e-05
ĐHQGHN,0.00246927,0.06717464
Đại học Quốc gia Hà Nội,0.00231703,0.10023434
Trường Đại học Công nghệ – ĐHQGHN,0.00200242,2.993e-05
Nhà trường,0.00187127,0.00020062
trường Đại học Công nghệ,0.00183708,4.406e-05
Phòng Đào tạo,0.0014233,0.00307795
Trường Đại học Công nghệ – Đại học Quốc gia Hà Nội,0.00125556,8.133e-05
Hội đồng Giáo sư cơ sở,0.00117513,0.02165985
Giám đốc Đại học Quốc gia Hà Nội,0.00116005,0.00026289
Công văn,0.00115291,7.581e-05
Trường Đại học Công nghệ (ĐHCN),0.00107981,0.00057904
"Trường Đại học Công nghệ, ĐHQGHN",0.0010694,4.554e-05
Trường Đại học Công Nghệ,0.00096976,2.51e-06
Quy chế đào tạo đại học,0.0009606,5.271e-05
nghiên cứu sinh,0.00088844,0.00126829
Đại học Quốc gia Hà Nội và Bộ Giáo dục và Đào tạo yêu cầu thực hiện công khai tình hình khảo sát việc làm của sinh viên.,0.00086745,-0.0
Quyết định số 3568/QĐ-ĐHQGHN được Giám đốc Đại học Quốc gia Hà Nội ban hành vào ngày 08 tháng 10 năm 2014.,0.00086576,-0.0
Thủ tướng Chính phủ,0.00086391,1.661e-05
Quyết định số 3568/QĐ-ĐHQGHN quy định về tổ chức và hoạt động của các đơn vị thành viên và đơn vị trực thuộc Đại học Quốc gia Hà Nội.,0.00086365,-0.0
trường ĐH Công nghệ,0.0007892,1.911e-05
ĐHQG TP. Hồ Chí Minh,0.00077024,2.839e-05
UET,0.00075922,0.00217554
Trường Đại học Ngoại ngữ,0.00067406,5.269e-05
Đại học Công nghệ (ĐHCN),0.00067232,-0.0
Nguyễn Đình Đức,0.00066419,2.667e-05
Trung tâm CNTT,0.00064566,2.66e-06
thỏa thuận hợp tác,0.00062152,0.00062419
"Trường Đại học Công nghệ, Đại học Quốc gia Hà Nội",0.00061697,7.829e-05
Trường Đại học Công nghệ – Đại học Quốc gia Hà Nội (VNU-UET),0.00061245,2.02e-05
"Ngày 26/9/2019, Trường Đại học Công nghệ nhận được thông báo từ Đại học Quốc gia Hà Nội về Danh sách sinh viên nhận Học bổng Annex năm học 2018-2019.",0.00059837,-0.0
Trường Đại học Công nghệ thuộc Đại học Quốc gia Hà Nội.,0.00059821,0.0
Đơn vị đào tạo,0.00059723,4.356e-05
"Trung tâm hợp tác Nghiên cứu, đổi mới và phát triển công nghệ (JTIRC)",0.00059631,8.92e-06
Trường Đại học Công nghệ là thành viên trực thuộc Đại học Quốc gia Hà Nội.,0.0005864,-0.0
Chương trình,0.00058639,1.834e-05
Đại học Quốc gia Hà Nội thực hiện đánh giá cơ sở theo tiêu chuẩn của Bộ Giáo dục và Đào tạo.,0.00057828,-0.0
Trưởng ban Đào tạo,0.00057757,6.92e-05
Quy định về Tổ chức và Hoạt động của Đại học Quốc gia Hà Nội được ban hành theo Quyết định số 3568/QĐ-ĐHQGHN ngày 08/10/2014.,0.00057727,-0.0
Đại học Quốc gia Hà Nội ban hành Quyết định số 3568/QĐ-ĐHQGHN ngày 08 tháng 10 năm 2014 về tổ chức và hoạt động của các đơn vị thành viên và đơn vị trực thuộc.,0.00057649,-0.0
Quyết định số 3568/QĐ-ĐHQGHN được ban hành để quy định về tổ chức và hoạt động của các đơn vị thành viên và đơn vị trực thuộc Đại học Quốc gia Hà Nội.,0.00057642,-0.0
"Ngày 29/12/2021, Giám đốc Đại học Quốc gia Hà Nội đã ký ban hành Quyết định số 4373/QĐ-ĐHQGHN về việc tặng Giải thưởng ĐHQGHN về Khoa học và Công nghệ năm 2021.",0.00057625,-0.0
Đại học Quốc gia Hà Nội ban hành công văn số 3253/ĐHQGHN-ĐT ngày 31/08/2023 về việc thay đổi lịch trình tuyển sinh sau đại học đợt 2 năm 2023.,0.00057605,-0.0
Quyết định số 3568/QĐ-ĐHQGHN ban hành Quy định về Tổ chức và Hoạt động của các đơn vị thành viên và đơn vị trực thuộc ĐHQGHN.,0.00057582,-0.0
Trường Đại học Tổng hợp Hà Nội,0.00057522,0.00058561
Hội thảo khoa học,0.00057509,6.57e-06
Lễ trao học bổng Annex,0.00057477,2.222e-05
"Đại học Quốc gia Hà Nội ban hành công văn thông báo chương trình trao đổi sinh viên tại Đại học Quốc gia Đài Bắc, Đài Loan học kỳ II, năm học 2019-2020.",0.00057474,-0.0
Kim Sơn nhấn mạnh các nhận định và đánh giá về điểm mạnh và nội dung cần cải tiến của 2 chương trình nhằm góp phần nâng cao chất lượng chương trình.,0.00057469,-0.0
Khoa học máy tính và Hệ thống thông tin,0.00057467,2.672e-05
"Ngày 19/02/2024, Đại học Quốc gia Hà Nội ban hành công văn số 453/ĐHQGHN-ĐT để thông báo chương trình trao đổi sinh viên kỳ mùa Thu năm 2024 tại Đại học Charles, CH Séc.",0.00057467,-0.0
