degree,count
1,84960
2,27944
3,20349
4,10989
5,4649
6,2104
7,1249
8,881
9,631
10,534
11,387
12,326
13,244
14,236
15,189
16,167
17,130
18,108
19,87
20,82
21,84
22,71
23,72
24,65
25,51
26,54
27,47
28,35
29,44
30,32
31,34
32,29
33,35
34,25
35,22
36,12
37,21
38,24
39,34
40,22
41,18
42,11
43,19
44,18
45,23
46,18
47,13
48,6
49,7
50,11
51,11
52,10
53,20
54,7
55,10
56,12
57,9
58,7
59,5
60,5
61,8
62,7
63,5
64,7
65,10
66,8
67,5
68,4
69,7
70,2
71,7
72,6
73,3
74,3
75,4
76,8
77,6
78,6
79,2
80,4
81,1
82,1
83,1
84,3
85,4
86,8
87,2
88,2
89,4
90,4
91,2
92,3
93,6
94,2
95,2
96,2
97,4
98,4
99,1
100,2
101,6
102,2
103,1
104,5
105,1
106,2
107,1
108,4
109,2
110,3
111,1
112,2
113,2
114,1
115,3
117,2
118,1
119,2
121,2
122,3
123,1
124,1
125,3
126,1
129,2
130,2
132,1
133,1
135,1
136,1
137,1
139,2
141,2
142,1
143,1
150,1
151,1
153,1
154,1
155,4
160,1
161,1
163,1
165,1
167,3
172,1
173,2
175,1
176,2
178,1
179,1
180,1
181,1
182,1
187,1
188,1
191,2
193,1
195,1
198,1
204,2
209,1
210,1
212,1
216,2
219,1
221,1
223,2
225,1
229,2
230,1
231,1
235,1
237,1
242,2
251,1
254,1
256,1
259,1
262,1
264,1
266,1
278,1
280,1
285,1
286,1
288,1
298,1
309,1
320,2
332,1
340,1
345,1
348,1
357,1
363,1
392,1
398,1
400,1
443,1
446,1
464,1
476,1
501,1
573,1
586,1
634,1
640,1
670,1
836,1
878,1
905,1
1139,1
1224,1
1601,1
2234,1
2403,1
2608,1
2779,1
5943,1
