node_a,relation_a_to_b,node_b,relation_b_to_a
nghiên cứu,tập trung vào,dao động phi tuyến,được nghiên cứu bằng
nghiên cứu,được gắn kết chặt chẽ với,đào tạo,kết hợp với
nghiên cứu,được thực hiện bởi,Trường Đại học Công nghệ,hợp tác trong
Việt Nam,có mối liên hệ kinh tế với,Hàn Quốc,tương đồng với
Việt Nam,đăng cai,Kỳ thi Lập trình sinh viên quốc tế,được tổ chức tại
Việt Nam,có sự hội nhập kinh tế quốc tế,hội nhập kinh tế quốc tế,được thực hiện bởi
Việt Nam,đăng cai,Kỳ thi Lập trình sinh viên quốc tế ICPC Châu Á – Thái Bình Dương năm 2024,do
Việt Nam,hỗ trợ quản lý,chất lượng không khí,được quản lý tại
Việt Nam,có,sinh viên,từ
Nhật Bản,diễn ra tại,Đại học Nữ sinh Fukuoka,thuộc
Nhật Bản,có,Đại học Kansai,thuộc
Nhật Bản,có,mùa Xuân năm 2025,diễn ra ở
Nhật Bản,tại,Đại học Kyushu,thuộc
Nhật Bản,là nơi diễn ra,chương trình trao đổi sinh viên,liên quan tới
Nhật Bản,có,Đại học Kanazawa,ở
Nhật Bản,nơi diễn ra,Chương trình học bổng Toshiba,diễn ra tại
Nhật Bản,diễn ra tại,Đại học Waseda,ở
Nhật Bản,trao đổi tại,sinh viên,khởi nghiệp thành công ở
ngành Kỹ thuật năng lượng,hướng tới,tương lai bền vững,được nhắm tới bởi
Trường Đại học Công nghệ,thuộc,Đại học Quốc gia Hà Nội,liên quan đến
Trường Đại học Công nghệ,có mã trường,QHI,là mã của
Trường Đại học Công nghệ,thuộc,ĐHQGHN,có trường thành viên
Trường Đại học Công nghệ,đào tạo,Khoa học máy tính,thuộc
Trường Đại học Công nghệ,đào tạo,Hệ thống thông tin,được triển khai tại
Trường Đại học Công nghệ,phát triển dựa trên,Khoa Công nghệ,được tổ chức lại thành
Trường Đại học Công nghệ,được gắn,tuyển sinh,dành cho
Trường Đại học Công nghệ,có,Quy chế tạm thời về tổ chức và hoạt động,thuộc
Trường Đại học Công nghệ,tổ chức,Hội thảo quốc tế ICMAEE 2024,thuộc
Trường Đại học Công nghệ,đã tốt nghiệp,sinh viên,được thu hút bởi
Trường Đại học Công nghệ,tổ chức,Đại hội Đảng bộ Trường Đại học Công nghệ lần thứ IV,diễn ra tại
Trường Đại học Công nghệ,ra mắt,Khoa Công nghệ nông nghiệp,thuộc
Trường Đại học Công nghệ,được nhắc đến như,VNU-UET,là cơ sở của
Trường Đại học Công nghệ,có,Hội đồng Giáo sư cơ sở,thuộc
Trường Đại học Công nghệ,tổ chức,Hội đồng Giáo sư,tổ chức tại
Trường Đại học Công nghệ,có,Hiệu trưởng,thuộc về
Trường Đại học Công nghệ,được tổ chức theo,Quyết định số 92/2004/QĐ-TTg,đánh dấu sự ra đời của
Trường Đại học Công nghệ,ban hành,Công văn số 294/ĐT,của
Trường Đại học Công nghệ,ký kết,thỏa thuận hợp tác,giữa
Trường Đại học Công nghệ,có đơn vị,khoa Công nghệ thông tin,thuộc
Trường Đại học Công nghệ,hợp tác với,Đại học Công nghệ Sydney,sang làm việc với
Trường Đại học Công nghệ,tổ chức,Hội nghị sinh viên nghiên cứu khoa học,diễn ra tại
Trường Đại học Công nghệ,là đơn vị tổ chức,Lễ khai giảng,tổ chức bởi
Trường Đại học Công nghệ,có Hiệu trưởng,Chử Đức Trình,là Hiệu trưởng
Trường Đại học Công nghệ,có phòng,Phòng Đào tạo,thuộc
Trường Đại học Công nghệ,tham gia,Lễ ký kết hợp tác,diễn ra giữa
Trường Đại học Công nghệ,có tên viết tắt,UET,được gắn với
Trường Đại học Công nghệ,tham gia hợp tác thông qua,Thỏa thuận hợp tác chiến lược,được ký kết bởi
Trường Đại học Công nghệ,liên quan đến,25 năm ngày truyền thống,liên quan đến
Trường Đại học Công nghệ,thuộc,ĐHQGHN (VNU-UET),có
Trường Đại học Công nghệ,phối hợp,Văn phòng đại diện Phòng Giáo dục Hàn Quốc ở nước ngoài tại Việt Nam,phối hợp
Trường Đại học Công nghệ,có đại diện,GS.TS Chử Đức Trình,là Hiệu trưởng
Trường Đại học Công nghệ,có đại diện,TS. Nguyễn Thu Hương,là Phó Hiệu trưởng
Trường Đại học Công nghệ,có đại diện,GS.TS. Nguyễn Thanh Thủy,là Phó Hiệu trưởng
Trường Đại học Công nghệ,nhận bằng,bằng độc quyền giải pháp hữu ích,được cấp cho
Trường Đại học Công nghệ,đăng cai,Hội thảo quốc tế,diễn ra tại
Trường Đại học Công nghệ,tham gia,chương trình đào tạo liên kết quốc tế,giữa
Trường Đại học Công nghệ,đào tạo,Phạm Hồng Công,thuộc
